Player,Pos,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,FG%,3P%,2P%,eFG%,FT%
James Michael,PF,0.359,8.7,12.6,10.8,4.9,1.9,5,12.3,14.6,0.53,0.25,0.55,0.538,0.5
Patrick McCaw,SG,0.151,2.4,7.6,5.2,9,1.4,1.1,12.1,11.9,0.433,0.333,0.533,0.516,0.784
Sheldon McClellan,SG,0.36,1.6,11.7,6.7,7,1.4,0.6,5.4,14,0.4,0.233,0.511,0.447,0.852
C.J. McCollum,SG,0.204,2.4,9.2,5.8,18,1.3,1.2,9.9,27.5,0.48,0.42,0.506,0.544,0.912
T.J. McConnell,PG,0.176,2,11,6.5,37.5,3.1,0.4,22.4,14.4,0.461,0.2,0.492,0.472,0.811
Chris McCullough,PF,0.156,12.1,13.3,12.7,4.4,1.2,1.9,8.1,19.9,0.5,0.143,0.6,0.516,0.6
K.J. McDaniels,SF,0.225,3.2,14.1,8.7,4,1.8,2.8,13.5,18.1,0.456,0.303,0.553,0.515,0.842
Doug McDermott,SF,0.169,1.4,11.5,6.4,5.9,0.4,0.3,6.6,16.4,0.447,0.372,0.5,0.524,0.845
JaVale McGee,C,0.348,15.8,20.1,18.1,3.8,1.2,7.1,9.8,23.8,0.652,0,0.66,0.652,0.505
Rodney McGruder,SG,0.154,5.3,9.2,7.2,8.8,1.2,0.7,10.2,12.3,0.413,0.332,0.488,0.492,0.62
Ben McLemore,SG,0.222,1.9,10.8,6.4,6.9,1.2,0.5,11.9,20.1,0.43,0.382,0.462,0.507,0.753
Jordan McRae,SG,0.227,1.8,9.5,5.7,7.4,1,1.3,7.8,20.8,0.387,0.353,0.404,0.447,0.794
Josh McRoberts,PF,0.076,6.6,15,10.7,18.9,1.3,0.8,15.9,16.9,0.373,0.419,0.356,0.428,0.667
Jodie Meeks,SG,0.289,0.7,10.9,5.7,9.3,2.3,0.4,11.1,19.4,0.402,0.409,0.395,0.512,0.878
Salah Mejri,C,0.445,11.9,28.4,19.8,2.4,1.8,6.1,19.6,10.6,0.642,0.333,0.649,0.646,0.59
Jordan Mickey,PF,0.412,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5,0.441,0,0.455,0.441,0.571
Khris Middleton,SF,0.276,1.5,14.5,8.1,17.5,2.3,0.7,14.8,22.5,0.45,0.433,0.459,0.518,0.88
C.J. Miles,SF,0.144,1.9,12.4,7.2,4.1,1.3,1.2,5.5,18.4,0.434,0.413,0.471,0.565,0.903
Mike Miller,SF,0.087,2.2,26.1,14.3,18.3,0.6,0,35.2,10.4,0.391,0.4,0.333,0.565,1
Patty Mills,PG,0.129,1.6,7.4,4.6,24.3,1.9,0.1,13.3,19.5,0.439,0.413,0.474,0.557,0.825
Elijah Millsap,SG,0.286,13.8,14.6,14.2,5.6,0,0,20.2,18,0.143,0,0.2,0.143,0.5
Paul Millsap,PF,0.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4,0.442,0.311,0.486,0.481,0.768
Nikola Mirotic,PF,0.205,3.9,20.9,12.3,6.9,1.6,2.7,10.4,19.8,0.413,0.342,0.52,0.516,0.773
Greg Monroe,C,0.329,10.8,23.1,17,17.3,2.6,1.8,14.4,24.3,0.533,0,0.536,0.533,0.741
E'Twaun Moore,SG,0.12,1.9,6.9,4.4,13.8,1.3,1.4,8.7,17.4,0.457,0.37,0.501,0.519,0.77
Marcus Morris,SF,0.184,3.2,12.8,7.8,9.4,1,0.8,7.4,20.3,0.418,0.331,0.466,0.477,0.784
Markieff Morris,PF,0.242,5.1,18.2,11.7,7.8,1.7,1.5,11.6,20.5,0.457,0.362,0.483,0.497,0.837
Anthony Morrow,SG,0.147,1.9,2.9,2.4,5.2,1.7,0.2,2.2,16.4,0.389,0.308,0.479,0.47,0.919
Donatas Motiejunas,PF,0.355,5.7,16.6,11.1,10.3,1.8,1.9,16.3,17.6,0.413,0.234,0.505,0.453,0.51
Timofey Mozgov,C,0.238,9.9,16.4,13.1,5.9,0.7,2.3,16.6,16.8,0.515,0,0.517,0.515,0.808
Emmanuel Mudiay,PG,0.303,2.3,11.6,7,21.8,1.4,0.7,16.5,22.6,0.377,0.315,0.408,0.428,0.784
Shabazz Muhammad,SF,0.318,6.4,10.6,8.5,3.7,0.7,0.3,7.6,21.5,0.482,0.336,0.529,0.523,0.774
Dejounte Murray,PG,0.259,2.2,12.4,7.4,22.6,1.3,1.5,22.7,23.5,0.431,0.391,0.441,0.47,0.7
Jamal Murray,SG,0.164,2.6,10.7,6.7,14,1.4,1.1,12.6,21.6,0.404,0.334,0.466,0.483,0.883
Mike Muscala,C,0.19,6.9,14.4,10.7,11.9,1.2,2.8,13.1,14.8,0.504,0.418,0.546,0.573,0.766
Larry Nance,PF,0.222,8.8,19.6,14,9.7,2.8,2.3,12.4,13.4,0.526,0.278,0.554,0.54,0.738
Shabazz Napier,PG,0.268,1.7,11.5,6.6,19.5,3.1,0.3,16.7,21.2,0.399,0.37,0.429,0.492,0.776
Maurice Ndour,PF,0.302,7.1,13.7,10.4,3.5,2.3,2,11,14.3,0.453,0.143,0.481,0.459,0.731
Gary Neal,SG,0.571,0,6,3.1,7.1,0,0,0,21.2,0,0,0,0,1
Jameer Nelson,PG,0.104,1.5,8.8,5.2,26,1.3,0.3,17,15.8,0.444,0.388,0.489,0.531,0.714
Raul Neto,PG,0.099,1.4,8.4,5,15.1,3.2,1.2,13.6,14.8,0.451,0.323,0.517,0.505,0.889
Georges Niang,PF,0.056,2.4,17.9,10.3,7.5,1.6,0,11.9,20.2,0.25,0.083,0.333,0.264,1
Andrew Nicholson,PF,0.126,4.9,14.6,9.8,4.1,2.3,1.5,12.7,17,0.387,0.185,0.452,0.41,0.643
Joakim Noah,C,0.388,17,25.7,21.3,14.1,1.5,3,19.8,12.5,0.493,0,0.495,0.493,0.436
Nerlens Noel,C,0.359,9.8,22.3,15.9,8.1,3.1,4.1,12.5,17.6,0.595,0,0.597,0.595,0.694
Lucas Nogueira,C,0.429,8.5,16.7,12.6,5.4,2.4,7.2,19.9,9.5,0.66,0.25,0.694,0.67,0.657
Steve Novak,PF,0,0,15.7,7.9,0,0,0,0,14.5,0.286,0.167,1,0.357,
Dirk Nowitzki,PF,0.165,1.8,28.3,14.4,10.6,1.1,2.4,6.6,25.8,0.437,0.378,0.463,0.495,0.875
Jusuf Nurkic,C,0.393,12.3,24.8,18.6,13.9,1.8,4.2,18.6,23.9,0.507,0,0.508,0.507,0.571
David Nwaba,SG,0.481,4.3,13.1,8.5,5,1.6,1.4,10.1,11.8,0.58,0.2,0.605,0.586,0.641
Johnny O'Bryant,PF,0.2,12.4,13.7,13.1,12.7,0,1,15.5,21.1,0.5,0.5,0.5,0.55,0.833
Kyle O'Quinn,C,0.201,13.7,24.8,19.2,14.8,1.5,6.9,14.5,18.5,0.521,0.118,0.538,0.523,0.771
Daniel Ochefu,C,0.074,7.6,25.4,16.5,5.8,1.3,0,9.7,18,0.444,,0.444,0.444,0
Jahlil Okafor,C,0.335,7.9,15.5,11.7,9,0.9,3.4,14.4,24.1,0.514,,0.514,0.514,0.671
Victor Oladipo,SG,0.165,1.9,12.6,7.2,12.5,1.7,0.8,10.6,21.4,0.442,0.361,0.491,0.51,0.753
Kelly Olynyk,C,0.242,5.3,20.7,13,15.2,1.4,1.5,14.6,19,0.512,0.354,0.608,0.579,0.732
Arinze Onuaku,C,0,7.6,16,11.7,9.9,0,2.9,33.3,9.4,0.5,,0.5,0.5,
Chinanu Onuaku,C,0.571,4.2,16.8,10.5,7.8,2.8,1.6,31.3,10.4,0.714,,0.714,0.714,1
Kelly Oubre,SF,0.224,4.3,13.9,9.1,4,1.8,0.9,9.2,14.5,0.421,0.287,0.52,0.482,0.758
Zaza Pachulia,C,0.41,12.9,22,17.7,13.6,2.2,2,19.5,15.3,0.534,0,0.538,0.534,0.778
Georgios Papagiannis,C,0.137,7.9,19.9,14,9,0.4,4.4,18.2,16.9,0.549,0,0.56,0.549,0.857
Jabari Parker,PF,0.268,5.4,15.7,10.6,14.3,1.5,1.1,9.2,26.5,0.49,0.365,0.525,0.53,0.743
Tony Parker,PG,0.206,0.7,7.3,4,27.8,1.1,0.1,12.5,20.2,0.466,0.333,0.484,0.486,0.726
Chandler Parsons,SF,0.194,1,13.6,7.1,12.8,1.5,0.7,9.1,17.8,0.338,0.269,0.388,0.394,0.814
Lamar Patterson,SG,0.2,2.8,16.3,9.6,21.1,1.2,0,19.7,22.2,0.2,0.167,0.222,0.233,0.667
Patrick Patterson,PF,0.156,4.4,16.2,10.3,6.6,1.3,1.2,8.5,12.5,0.401,0.372,0.458,0.523,0.717
Chris Paul,PG,0.331,2.5,14.9,8.8,46.8,3.1,0.3,14,24.4,0.476,0.411,0.518,0.555,0.892
Adreian Payne,PF,0.352,7.7,21,14.3,8,3,4.4,11.4,23.1,0.426,0.2,0.513,0.454,0.737
Cameron Payne,PG,0.041,0.7,10.7,5.7,17.7,1.5,0.9,12.9,20.9,0.332,0.314,0.346,0.402,0.625
Elfrid Payton,PG,0.231,3.9,13.8,8.7,35.7,1.8,1.3,15,21.6,0.471,0.274,0.509,0.493,0.692
Gary Payton,PG,0.227,0,14,7.1,18.1,1.5,3.6,29.2,15.8,0.364,0.111,0.538,0.386,0.6
Paul Pierce,SF,0.186,0.4,18.5,9.7,5,0.7,1.5,17.4,14.8,0.4,0.349,0.481,0.507,0.769
Marshall Plumlee,C,0.633,14.5,17.8,16.2,8.1,1.2,1.9,23.8,12.8,0.533,,0.533,0.533,0.421
Mason Plumlee,C,0.482,8.8,22.5,15.6,19.8,1.6,3.4,15.2,18.1,0.536,0,0.541,0.536,0.58
Miles Plumlee,C,0.424,9,13.3,11.1,6.1,1.9,2.4,21.6,13.1,0.478,,0.478,0.478,0.641
Jakob Poeltl,C,0.496,14.1,15.7,14.9,2.7,1.4,2.8,17.2,12.1,0.583,,0.583,0.583,0.544
Otto Porter,SF,0.148,5.1,17.1,11.1,6.7,2.2,1.3,4.8,15.1,0.516,0.434,0.576,0.608,0.832
Bobby Portis,PF,0.157,8,24,16,5.7,0.8,0.9,8.4,19.1,0.488,0.333,0.541,0.531,0.661
Kristaps Porzingis,PF,0.256,5.5,18.2,11.8,7.3,1.1,4.9,9.7,24.3,0.45,0.357,0.493,0.507,0.786
Dwight Powell,C,0.374,7.7,19.5,13.3,6.1,2.4,2.6,7.2,16.7,0.515,0.284,0.571,0.542,0.759
Norman Powell,SG,0.314,2.2,11.7,6.9,9.3,1.9,0.9,10.8,21.1,0.449,0.324,0.514,0.504,0.792
Alex Poythress,PF,0.185,7.7,12.7,10.2,5.1,0.9,1,4.9,16.9,0.463,0.316,0.543,0.519,0.8
Ronnie Price,PG,0.167,2.4,6.7,4.5,16.9,3.9,0.6,10.4,9,0.167,0.176,0.143,0.229,0.75
Tim Quarterman,SG,0.103,5.5,13.9,9.7,21.1,1.2,3,26.6,22.8,0.448,0.385,0.5,0.534,0
Chasson Randle,PG,0.439,2.2,9.4,5.8,16.8,1.5,0.5,14,19.7,0.408,0.34,0.471,0.49,0.953
Julius Randle,PF,0.365,7.5,25.8,16.3,19.3,1.1,1.4,16.2,21.4,0.488,0.27,0.507,0.499,0.723
Zach Randolph,PF,0.2,11.3,27.4,19.1,13.5,1.1,0.5,8.6,29.2,0.449,0.223,0.474,0.46,0.731
J.J. Redick,SG,0.227,0.6,7.9,4.3,7.8,1.3,0.5,9.1,21.9,0.445,0.429,0.462,0.558,0.891
Willie Reed,C,0.309,13.7,22,17.8,3.9,0.9,3.6,8.7,15.3,0.568,0.25,0.573,0.57,0.557
